Module,Pattern,Role,Signal
axi_shim,Integrity,payload,wr_data_i
axi_shim,Leak,payload,rd_addr_i
axi_shim,Leak,payload,rd_data_o
axi_shim,Leak,payload,wr_addr_i
axi_shim,Leak,payload,wr_data_i
axi_shim,Privilege,trigger,rd_addr_i
axi_shim,Privilege,trigger,wr_addr_i
bht,Leak,trigger,debug_mode_i
bht,Privilege,trigger,debug_mode_i
bht,Privilege,payload,debug_mode_i
branch_unit,Availability,trigger,branch_valid_i
branch_unit,Availability,payload,branch_valid_i
branch_unit,Covert,trigger,fu_data_i
branch_unit,Covert,trigger,fu_data_t
branch_unit,Covert,payload,branch_result_o
branch_unit,Covert,payload,branch_valid_i
branch_unit,Covert,payload,fu_data_i
branch_unit,Covert,payload,fu_data_t
branch_unit,DoS,trigger,branch_valid_i
branch_unit,DoS,payload,branch_valid_i
branch_unit,Integrity,trigger,fu_data_i
branch_unit,Integrity,trigger,fu_data_t
branch_unit,Integrity,payload,branch_result_o
branch_unit,Integrity,payload,fu_data_i
branch_unit,Integrity,payload,fu_data_t
branch_unit,Leak,trigger,debug_mode_i
branch_unit,Leak,payload,branch_result_o
branch_unit,Leak,payload,fu_data_i
branch_unit,Leak,payload,fu_data_t
branch_unit,Privilege,trigger,debug_mode_i
branch_unit,Privilege,payload,debug_mode_i
cache_ctrl,Availability,trigger,bypass_valid_i
cache_ctrl,Availability,trigger,critical_word_valid_i
cache_ctrl,Availability,trigger,dcache_req_i_t
cache_ctrl,Availability,trigger,dcache_req_o_t
cache_ctrl,Availability,trigger,miss_req_o
cache_ctrl,Availability,trigger,miss_req_t
cache_ctrl,Availability,trigger,req_o
cache_ctrl,Availability,trigger,req_port_i
cache_ctrl,Availability,trigger,req_port_o
cache_ctrl,Availability,payload,busy_o
cache_ctrl,Availability,payload,bypass_gnt_i
cache_ctrl,Availability,payload,bypass_valid_i
cache_ctrl,Availability,payload,critical_word_valid_i
cache_ctrl,Availability,payload,gnt_i
cache_ctrl,Availability,payload,miss_gnt_i
cache_ctrl,Covert,trigger,bypass_data_i
cache_ctrl,Covert,trigger,data_i
cache_ctrl,Covert,trigger,data_o
cache_ctrl,Covert,payload,busy_o
cache_ctrl,Covert,payload,bypass_data_i
cache_ctrl,Covert,payload,bypass_valid_i
cache_ctrl,Covert,payload,critical_word_valid_i
cache_ctrl,Covert,payload,data_i
cache_ctrl,Covert,payload,data_o
cache_ctrl,DoS,trigger,active_serving_i
cache_ctrl,DoS,trigger,bypass_valid_i
cache_ctrl,DoS,trigger,critical_word_valid_i
cache_ctrl,DoS,trigger,dcache_req_i_t
cache_ctrl,DoS,trigger,dcache_req_o_t
cache_ctrl,DoS,trigger,miss_req_o
cache_ctrl,DoS,trigger,miss_req_t
cache_ctrl,DoS,trigger,req_o
cache_ctrl,DoS,trigger,req_port_i
cache_ctrl,DoS,trigger,req_port_o
cache_ctrl,DoS,trigger,we_o
cache_ctrl,DoS,payload,active_serving_i
cache_ctrl,DoS,payload,bypass_valid_i
cache_ctrl,DoS,payload,critical_word_valid_i
cache_ctrl,DoS,payload,dcache_req_i_t
cache_ctrl,DoS,payload,dcache_req_o_t
cache_ctrl,DoS,payload,miss_req_o
cache_ctrl,DoS,payload,miss_req_t
cache_ctrl,DoS,payload,req_o
cache_ctrl,DoS,payload,req_port_i
cache_ctrl,DoS,payload,req_port_o
cache_ctrl,DoS,payload,we_o
cache_ctrl,Integrity,trigger,addr_o
cache_ctrl,Integrity,trigger,bypass_data_i
cache_ctrl,Integrity,trigger,data_i
cache_ctrl,Integrity,trigger,data_o
cache_ctrl,Integrity,trigger,mshr_addr_matches_i
cache_ctrl,Integrity,trigger,mshr_addr_o
cache_ctrl,Integrity,payload,bypass_data_i
cache_ctrl,Integrity,payload,data_i
cache_ctrl,Integrity,payload,data_o
cache_ctrl,Leak,trigger,we_o
cache_ctrl,Leak,payload,addr_o
cache_ctrl,Leak,payload,bypass_data_i
cache_ctrl,Leak,payload,data_i
cache_ctrl,Leak,payload,data_o
cache_ctrl,Leak,payload,mshr_addr_matches_i
cache_ctrl,Leak,payload,mshr_addr_o
cache_ctrl,Privilege,trigger,addr_o
cache_ctrl,Privilege,trigger,mshr_addr_matches_i
cache_ctrl,Privilege,trigger,mshr_addr_o
cache_ctrl,Privilege,trigger,we_o
commit_stage,Availability,trigger,amo_valid_commit_o
commit_stage,Availability,trigger,break_from_trigger_i
commit_stage,Availability,trigger,commit_lsu_o
commit_stage,Availability,trigger,commit_lsu_ready_i
commit_stage,Availability,trigger,csr_op_o
commit_stage,Availability,trigger,fu_op
commit_stage,Availability,payload,amo_valid_commit_o
commit_stage,Availability,payload,commit_ack_o
commit_stage,Availability,payload,commit_lsu_ready_i
commit_stage,Availability,payload,commit_macro_ack_o
commit_stage,Covert,payload,amo_valid_commit_o
commit_stage,Covert,payload,commit_lsu_ready_i
commit_stage,DoS,trigger,amo_valid_commit_o
commit_stage,DoS,trigger,break_from_trigger_i
commit_stage,DoS,trigger,commit_lsu_ready_i
commit_stage,DoS,trigger,we_fpr_o
commit_stage,DoS,trigger,we_gpr_o
commit_stage,DoS,payload,amo_valid_commit_o
commit_stage,DoS,payload,commit_lsu_ready_i
commit_stage,DoS,payload,we_fpr_o
commit_stage,DoS,payload,we_gpr_o
commit_stage,Integrity,trigger,csr_op_o
commit_stage,Integrity,trigger,fu_op
commit_stage,Integrity,payload,csr_rdata_i
commit_stage,Integrity,payload,csr_wdata_o
commit_stage,Integrity,payload,csr_write_fflags_o
commit_stage,Integrity,payload,wdata_o
commit_stage,Leak,trigger,commit_csr_o
commit_stage,Leak,trigger,csr_exception_i
commit_stage,Leak,trigger,csr_op_o
commit_stage,Leak,trigger,csr_rdata_i
commit_stage,Leak,trigger,csr_wdata_o
commit_stage,Leak,trigger,csr_write_fflags_o
commit_stage,Leak,trigger,we_fpr_o
commit_stage,Leak,trigger,we_gpr_o
commit_stage,Leak,payload,commit_csr_o
commit_stage,Leak,payload,csr_exception_i
commit_stage,Leak,payload,csr_op_o
commit_stage,Leak,payload,csr_rdata_i
commit_stage,Leak,payload,csr_wdata_o
commit_stage,Leak,payload,csr_write_fflags_o
commit_stage,Leak,payload,wdata_o
commit_stage,Privilege,trigger,commit_csr_o
commit_stage,Privilege,trigger,csr_exception_i
commit_stage,Privilege,trigger,csr_op_o
commit_stage,Privilege,trigger,csr_rdata_i
commit_stage,Privilege,trigger,csr_wdata_o
commit_stage,Privilege,trigger,csr_write_fflags_o
commit_stage,Privilege,trigger,we_fpr_o
commit_stage,Privilege,trigger,we_gpr_o
compressed_instr_decoder,Availability,trigger,compressed_req_i
compressed_instr_decoder,Availability,trigger,compressed_valid_i
compressed_instr_decoder,Availability,trigger,x_compressed_req_t
compressed_instr_decoder,Availability,payload,compressed_ready_o
compressed_instr_decoder,Availability,payload,compressed_valid_i
compressed_instr_decoder,Covert,payload,compressed_ready_o
compressed_instr_decoder,Covert,payload,compressed_valid_i
compressed_instr_decoder,DoS,trigger,compressed_ready_o
compressed_instr_decoder,DoS,trigger,compressed_req_i
compressed_instr_decoder,DoS,trigger,compressed_valid_i
compressed_instr_decoder,DoS,trigger,x_compressed_req_t
compressed_instr_decoder,DoS,payload,compressed_ready_o
compressed_instr_decoder,DoS,payload,compressed_req_i
compressed_instr_decoder,DoS,payload,compressed_valid_i
compressed_instr_decoder,DoS,payload,x_compressed_req_t
controller,Availability,trigger,ex_valid_i
controller,Availability,payload,ex_valid_i
controller,Availability,payload,flush_dcache_ack_i
controller,Covert,payload,ex_valid_i
controller,DoS,trigger,ex_valid_i
controller,DoS,payload,ex_valid_i
controller,Leak,trigger,flush_csr_i
controller,Leak,trigger,halt_csr_i
controller,Leak,trigger,set_debug_pc_i
controller,Leak,payload,flush_csr_i
controller,Leak,payload,halt_csr_i
controller,Privilege,trigger,flush_csr_i
controller,Privilege,trigger,halt_csr_i
copro_alu,Availability,trigger,valid_o
copro_alu,Availability,payload,valid_o
copro_alu,Covert,payload,result_o
copro_alu,Covert,payload,valid_o
copro_alu,DoS,trigger,valid_o
copro_alu,DoS,trigger,we_o
copro_alu,DoS,payload,valid_o
copro_alu,DoS,payload,we_o
copro_alu,Integrity,payload,result_o
copro_alu,Leak,trigger,we_o
copro_alu,Leak,payload,result_o
copro_alu,Privilege,trigger,we_o
csr_buffer,Availability,trigger,csr_valid_i
csr_buffer,Availability,payload,csr_ready_o
csr_buffer,Availability,payload,csr_valid_i
csr_buffer,Covert,trigger,fu_data_i
csr_buffer,Covert,trigger,fu_data_t
csr_buffer,Covert,payload,csr_ready_o
csr_buffer,Covert,payload,csr_result_o
csr_buffer,Covert,payload,csr_valid_i
csr_buffer,Covert,payload,fu_data_i
csr_buffer,Covert,payload,fu_data_t
csr_buffer,DoS,trigger,csr_ready_o
csr_buffer,DoS,trigger,csr_valid_i
csr_buffer,DoS,payload,csr_ready_o
csr_buffer,DoS,payload,csr_valid_i
csr_buffer,Integrity,trigger,csr_addr_o
csr_buffer,Integrity,trigger,fu_data_i
csr_buffer,Integrity,trigger,fu_data_t
csr_buffer,Integrity,payload,csr_result_o
csr_buffer,Integrity,payload,fu_data_i
csr_buffer,Integrity,payload,fu_data_t
csr_buffer,Leak,trigger,csr_addr_o
csr_buffer,Leak,trigger,csr_commit_i
csr_buffer,Leak,trigger,csr_ready_o
csr_buffer,Leak,trigger,csr_result_o
csr_buffer,Leak,trigger,csr_valid_i
csr_buffer,Leak,payload,csr_addr_o
